"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2011,72067,108,4.5079,4.4001,4.6301,"RD2       ",53
2008,67007,34,4.1706,3.9482,4.2729,"RD2       ",49
2008,67007,64,5.6472,5.2088,5.9528,"RD1       ",51
2009,69067,33,4.3638,3.9685,4.6731,"RD2       ",49
2010,70787,60,3.086,2.9174,3.2095,"RD3       ",51
2011,72067,98,2.7324,2.6111,2.974,"RD3       ",53
2008,67007,15,5.7777,5.4839,6.0342,"RD2       ",48
2008,67007,21,5.8418,5.5847,6.3489,"RD1       ",48
2007,65106,72,3.9047,3.7115,4.1315,"RD2       ",52
2012,73190,10,4.3696,4.264,4.4935,"RD2       ",48
2011,72067,55,4.5522,4.2343,4.8562,"RD2       ",51
2007,65106,77,3.0044,2.8351,3.1665,"RD3       ",52
2006,62666,56,6.0959,6.0811,6.1134,"RD1       ",51
2007,65106,89,4.3598,4.2061,4.5013,"RD2       ",53
2011,72067,103,4.4201,4.248,4.558,"RD2       ",53
2010,70787,74,4.3987,3.8233,5.1349,"RD2       ",51
2012,73190,105,3.2854,3.113,3.4948,"RD3       ",53
2008,67007,32,5.3524,5.2904,5.4552,"RD2       ",49
2009,69067,20,3.7974,3.6217,3.9817,"RD3       ",48
2006,62666,14,6.8635,6.7113,6.9854,"RD1       ",48
2010,70787,49,3.3307,3.0826,3.4735,"RD3       ",50
2010,70787,82,5.6739,4.8294,6.1859,"RD1       ",52
2012,73190,95,3.1637,2.9279,3.2575,"RD3       ",53
2007,65106,10,2.8818,2.86,2.9087,"RD3       ",48
2007,65106,70,4.7019,4.3737,5.132,"RD1       ",52
2012,73190,27,5.8956,5.6259,6.2629,"RD1       ",49
2011,72067,38,2.8747,2.7634,3.0603,"RD3       ",50
2009,69067,130,5.4743,5.1276,5.8975,"RD1       ",54
2007,65106,64,5.4472,4.8594,5.8031,"RD1       ",52
2010,70787,68,3.1281,2.9674,3.3304,"RD3       ",51
2009,69067,127,4.6927,4.483,4.9854,"RD2       ",54
2011,72067,7,4.5608,4.4158,4.7026,"RD2       ",48
2009,69067,87,4.5792,4.31,4.9241,"RD2       ",52
2011,72067,32,4.1613,4.0756,4.2372,"RD2       ",49
2012,73190,67,5.9651,5.613,6.1444,"RD1       ",51
2006,62666,66,3.2853,3.1356,3.4376,"RD3       ",52
2009,69067,13,4.8309,4.723,4.9431,"RD2       ",48
2009,69067,52,5.3356,4.9849,5.4873,"RD2       ",51
2006,62666,81,3.4596,3.2534,3.6017,"RD3       ",53
2006,62666,11,5.5951,5.2242,6.0025,"RD2       ",48
2012,73190,15,6.8841,6.8398,6.9192,"RD1       ",48
2012,73190,89,3.464,3.3098,3.6602,"RD3       ",52
2006,62666,38,4.7465,4.5153,5.0464,"RD2       ",50
2009,69067,96,4.7715,4.5172,5.2728,"RD1       ",52
2008,67007,1,4.6404,4.4322,4.8985,"RD2       ",48
2006,62666,94,4.1027,3.8728,4.6192,"RD2       ",52
2008,67007,134,2.8396,2.7606,2.8991,"RD3       ",54
2006,62666,7,7.1171,7.0249,7.1868,"RD1       ",48
2008,67007,130,5.0085,4.8106,5.3019,"RD1       ",54
2012,73190,101,5.7505,5.5946,5.8889,"RD1       ",53
2007,65106,22,3.6983,3.5987,3.86,"RD3       ",49
2006,62666,16,6.997,6.7406,7.0934,"RD1       ",49
2006,62666,60,3.1946,2.814,3.5952,"RD3       ",51
2011,72067,33,3.0818,2.8068,3.2961,"RD3       ",49
2009,69067,75,4.1458,3.881,4.612,"RD2       ",51
2009,69067,62,2.7123,2.5295,2.8252,"RD3       ",51
2006,62666,54,4.0568,3.7505,4.4178,"RD3       ",51
2008,67007,100,3.0668,2.8142,3.1798,"RD3       ",53
2007,65106,85,5.1361,4.8995,5.3449,"RD1       ",53
2011,72067,26,4.9422,4.7856,5.1066,"RD2       ",49
2011,72067,17,2.8887,2.8176,3.0201,"RD3       ",48
2011,72067,91,2.7718,2.691,2.8859,"RD3       ",52
2009,69067,50,7.0722,6.8887,7.186,"RD1       ",50
2009,69067,22,2.7988,2.7108,2.9427,"RD3       ",49
2012,73190,52,4.6711,4.3384,5.1855,"RD2       ",50
2010,70787,123,4.6399,4.5123,4.7627,"RD2       ",53
2007,65106,59,3.0689,2.8167,3.5123,"RD3       ",51
2012,73190,77,6.2642,5.9717,6.7323,"RD1       ",51
2011,72067,59,5.921,5.778,6.0928,"RD1       ",51
2008,67007,20,4.7624,4.6241,4.8759,"RD2       ",48
2007,65106,40,4.8108,4.3624,5.1383,"RD2       ",50
2006,62666,86,5.6644,5.4868,5.7936,"RD1       ",54
2008,67007,125,5.9462,5.7192,6.1201,"RD1       ",53
2009,69067,110,3.2565,3.1484,3.4438,"RD3       ",53
2012,73190,86,5.6538,5.316,5.968,"RD1       ",52
2012,73190,33,3.8283,3.5876,4.0196,"RD3       ",49
2006,62666,30,4.2035,3.9405,4.3189,"RD2       ",49
2009,69067,18,5.6387,5.4587,5.8152,"RD1       ",48
2011,72067,94,3.6911,3.5883,3.7964,"RD2       ",53
2011,72067,97,4.6939,4.5391,4.9032,"RD2       ",53
2008,67007,25,2.7379,2.6684,2.8108,"RD3       ",49
2006,62666,65,3.0098,2.9323,3.137,"RD3       ",52
2012,73190,23,6.2847,5.991,6.6689,"RD1       ",49
2007,65106,44,4.383,4.05,4.7169,"RD2       ",50
2009,69067,83,4.5126,4.1025,5.0403,"RD2       ",52
2012,73190,24,2.8492,2.6545,2.9888,"RD3       ",49
2012,73190,80,6.2883,6.1137,6.6271,"RD1       ",52
2006,62666,68,3.8064,3.5888,4.0532,"RD2       ",52
2010,70787,87,2.9743,2.8307,3.1734,"RD3       ",52
2010,70787,13,3.3044,3.1864,3.4879,"RD3       ",48
2009,69067,29,4.4593,4.2971,4.6067,"RD2       ",49
2007,65106,78,4.4237,4.1884,4.6676,"RD2       ",52
2007,65106,99,3.259,3.1129,3.4666,"RD3       ",54
2012,73190,83,4.8638,4.4464,5.2162,"RD2       ",52
2010,70787,66,5.8829,5.7594,5.9298,"RD1       ",51
2009,69067,99,3.1204,2.9948,3.2409,"RD3       ",52
2008,67007,11,5.6577,5.3827,5.9711,"RD2       ",48
2007,65106,82,4.2114,4.0013,4.4508,"RD2       ",53
2009,69067,36,3.8237,3.6462,3.9852,"RD2       ",50
2007,65106,68,4.1039,3.719,4.4091,"RD2       ",52
2006,62666,27,4.5491,4.3214,4.8106,"RD2       ",49
2011,72067,16,4.0232,3.8579,4.175,"RD2       ",48
2006,62666,71,4.7943,4.4678,5.1887,"RD1       ",52
2006,62666,10,5.5147,5.3749,5.8456,"RD2       ",48
2010,70787,99,4.5045,4.2339,4.9341,"RD2       ",52
2009,69067,122,5.4879,5.2432,5.6502,"RD1       ",53
2008,67007,84,6.0093,5.8149,6.1792,"RD1       ",51
2009,69067,37,3.5633,3.3456,3.7208,"RD3       ",50
2011,72067,73,4.8842,4.39,5.5614,"RD1       ",51
2012,73190,94,3.2757,3.014,3.494,"RD3       ",53
2007,65106,81,4.6205,4.4008,4.9708,"RD1       ",53
2007,65106,35,3.0552,2.9634,3.1605,"RD3       ",50
2009,69067,119,4.4307,4.2358,4.6752,"RD2       ",53
2009,69067,12,5.9512,5.6096,6.3533,"RD1       ",48
2009,69067,66,4.0267,3.9063,4.189,"RD2       ",51
2007,65106,75,3.4206,3.2916,3.5407,"RD3       ",52
2012,73190,60,6.2588,6.253,6.2625,"RD1       ",51
2009,69067,63,3.2524,3.0873,3.3534,"RD3       ",51
2011,72067,80,6.2921,5.6463,6.9993,"RD1       ",52
2006,62666,48,4.5169,4.1506,4.8317,"RD2       ",51
2008,67007,48,5.7756,5.3897,6.5156,"RD1       ",50
2008,67007,111,4.897,4.696,5.1481,"RD1       ",53
2008,67007,62,3.5973,3.3857,3.7879,"RD3       ",51
2010,70787,116,4.5373,4.2783,4.7314,"RD2       ",53
2011,72067,43,6.651,6.5754,7.5006,"RD1       ",50
2011,72067,77,5.9351,5.6493,6.2577,"RD1       ",52
2007,65106,58,2.7968,2.584,2.9741,"RD3       ",51
2011,72067,87,2.9431,2.8581,3.0183,"RD3       ",52
2010,70787,67,3.3441,3.1153,3.5933,"RD3       ",51
2010,70787,130,2.9418,2.6502,3.1335,"RD3       ",54
2007,65106,18,3.4335,3.3167,3.5954,"RD3       ",49
2010,70787,110,3.6524,3.5505,3.8123,"RD2       ",53
2012,73190,46,6.9544,6.8748,6.993,"RD1       ",50
2007,65106,91,6.1692,6.0532,6.2656,"RD1       ",53
2008,67007,56,3.1367,3.0026,3.2882,"RD3       ",51
2008,67007,98,3.74,3.551,3.9566,"RD2       ",52
2012,73190,90,2.7473,2.6273,2.8857,"RD3       ",52
2009,69067,67,6.3947,6.3918,6.4002,"RD1       ",51
2011,72067,65,5.712,5.3112,6.197,"RD1       ",51
2012,73190,11,5.9353,5.59,6.1763,"RD1       ",48
2010,70787,35,3.4164,3.273,3.5051,"RD3       ",49
2009,69067,71,4.8322,4.6078,5.155,"RD2       ",51
2007,65106,49,5.1533,4.899,5.5502,"RD1       ",51
2008,67007,22,6.6067,6.2068,6.8889,"RD1       ",48
2007,65106,26,3.9152,3.7324,4.1478,"RD3       ",49
2007,65106,80,2.5655,2.4793,2.7298,"RD3       ",52
2007,65106,67,3.0111,2.5967,3.3004,"RD3       ",52
2011,72067,25,3.3768,3.2066,3.5099,"RD3       ",49
2007,65106,79,4.8483,4.588,5.4949,"RD1       ",52
2007,65106,93,2.9674,2.9185,3.0764,"RD3       ",53
2008,67007,79,5.7798,5.6014,5.8871,"RD1       ",51
2006,62666,90,5.4022,5.3918,5.4142,"RD1       ",54
2011,72067,99,2.9569,2.7259,3.1184,"RD3       ",53
2006,62666,19,6.9861,6.9196,7.0467,"RD1       ",49
2007,65106,46,4.4578,4.1442,4.9771,"RD2       ",50
2012,73190,51,6.7028,6.5999,6.8541,"RD1       ",50
2008,67007,3,6.6899,6.656,6.7521,"RD1       ",48
2006,62666,59,4.6783,4.2943,5.2515,"RD2       ",51
2012,73190,92,2.5168,2.4796,2.5504,"RD3       ",52
2010,70787,124,5.3621,5.1577,5.5145,"RD1       ",53
2006,62666,50,3.2143,3.0823,3.3818,"RD3       ",51
2012,73190,102,4.0324,3.8719,4.1663,"RD2       ",53
2008,67007,49,6.3573,5.9349,6.5836,"RD1       ",50
2008,67007,96,6.174,5.9191,6.8766,"RD1       ",52
2009,69067,64,3.7445,3.6366,3.8477,"RD2       ",51
2011,72067,2,4.7124,4.5478,4.8834,"RD2       ",48
2012,73190,48,4.3107,3.9372,4.5704,"RD2       ",50
2010,70787,85,4.5388,4.2224,5.0251,"RD2       ",52
2006,62666,49,4.3001,4.1477,4.5138,"RD2       ",51
2010,70787,81,6.282,5.9955,7.2525,"RD1       ",52
2009,69067,1,4.9575,4.8324,5.1671,"RD2       ",48
2012,73190,31,4.1313,3.4039,4.3181,"RD2       ",49
2012,73190,78,5.3781,4.8924,5.846,"RD2       ",51
2007,65106,62,5.0422,4.7349,5.2982,"RD1       ",51
2007,65106,66,5.6425,5.3011,5.9258,"RD1       ",52
2007,65106,36,6.7373,6.7003,6.8274,"RD1       ",50
2010,70787,31,4.4386,4.2622,4.6682,"RD2       ",49
2007,65106,94,2.444,2.3114,2.6705,"RD3       ",54
2012,73190,85,6.4599,6.1737,7.0078,"RD1       ",52
2006,62666,73,2.9074,2.7739,3.1332,"RD3       ",52
2011,72067,48,4.8635,4.6335,5.1232,"RD2       ",50
2011,72067,82,3.5011,3.3492,3.6611,"RD3       ",52
2008,67007,80,4.8087,4.4959,5.4665,"RD2       ",52
2008,67007,90,3.6061,3.4161,3.8532,"RD3       ",52
2011,72067,102,4.6279,4.3879,4.8554,"RD2       ",53
2007,65106,87,3.4618,3.3541,3.6519,"RD3       ",53
2011,72067,75,5.5421,5.2228,5.9528,"RD1       ",52
2007,65106,97,4.3233,4.1546,4.4782,"RD2       ",54
2008,67007,116,4.3909,4.2465,4.5642,"RD2       ",53
2009,69067,100,6.3495,6.0338,6.6704,"RD1       ",52
2006,62666,32,3.7204,3.6042,3.9294,"RD3       ",49
2009,69067,68,3.3844,3.2238,3.5468,"RD3       ",51
2007,65106,50,2.6237,2.4962,2.7767,"RD3       ",51
2009,69067,17,6.844,6.6245,6.9625,"RD1       ",48
2012,73190,68,5.9504,5.8644,6.0491,"RD1       ",51
2011,72067,106,3.0833,2.9976,3.1744,"RD3       ",54
2008,67007,23,6.5496,6.2331,6.9777,"RD1       ",49
2009,69067,98,2.6256,2.5281,2.7628,"RD3       ",52
2011,72067,21,5.3907,4.9277,5.926,"RD1       ",48
2010,70787,28,3.5518,3.5157,3.6591,"RD3       ",49
2007,65106,45,4.1151,3.8407,4.3519,"RD2       ",50
2008,67007,37,5.1928,4.9489,5.5463,"RD2       ",49
2006,62666,67,3.803,3.6493,3.9416,"RD2       ",52
2012,73190,75,5.6112,5.5732,5.6624,"RD1       ",51
2008,67007,12,6.9853,6.9286,7.0317,"RD1       ",48
2008,67007,46,2.8846,2.7878,2.9756,"RD3       ",50
2007,65106,47,6.4945,5.9529,6.7466,"RD1       ",51
2009,69067,82,4.9661,4.5285,5.8389,"RD1       ",52
2007,65106,96,5.5296,5.3102,5.635,"RD1       ",54
2012,73190,88,2.8784,2.7394,3.0652,"RD3       ",52
2007,65106,65,5.4604,4.8795,5.8448,"RD1       ",52
2012,73190,84,4.8639,4.5157,5.159,"RD2       ",52
2006,62666,64,3.8081,3.5285,4.0365,"RD2       ",52
2008,67007,39,4.3591,4.2313,4.5245,"RD2       ",50
2012,73190,35,5.0158,4.6347,5.3636,"RD2       ",49
2010,70787,53,5.8997,5.3331,6.342,"RD1       ",50
2008,67007,95,4.8124,4.6209,5.0647,"RD2       ",52
2011,72067,71,3.1842,2.9508,3.3996,"RD3       ",51
2011,72067,64,5.5194,5.1321,5.9808,"RD1       ",51
2011,72067,68,3.4484,3.3713,3.5992,"RD3       ",51
2009,69067,102,3.06,2.915,3.2564,"RD3       ",52
2011,72067,9,3.9569,3.7926,4.0764,"RD2       ",48
2006,62666,96,6.2898,6.1785,6.5274,"RD1       ",52
2011,72067,34,3.755,3.5602,3.9368,"RD2       ",49
2009,69067,95,3.7679,3.6994,4.074,"RD3       ",52
2009,69067,58,6.9133,6.8628,7.0734,"RD1       ",50
2012,73190,114,5.569,5.5423,5.6148,"RD1       ",54
2006,62666,79,4.3052,4.1273,4.572,"RD2       ",53
2008,67007,108,3.5441,3.4325,3.7579,"RD3       ",53
2009,69067,27,4.2014,4.131,4.3161,"RD2       ",49
2009,69067,70,6.2977,5.458,6.5085,"RD1       ",51
2012,73190,111,5.1623,4.8809,5.3438,"RD1       ",54
2006,62666,58,5.985,5.8938,6.0564,"RD1       ",51
2010,70787,84,4.6436,4.2633,5.0293,"RD2       ",52
2009,69067,11,5.6337,5.364,5.8552,"RD1       ",48
2008,67007,36,3.0315,2.9274,3.1526,"RD3       ",50
2011,72067,18,6.1543,5.9778,6.3938,"RD1       ",48
2012,73190,106,3.6423,3.5156,3.7576,"RD3       ",53
2009,69067,2,4.4876,4.3108,4.7227,"RD2       ",48
2010,70787,14,3.1259,3.1144,3.1524,"RD3       ",48
2010,70787,69,3.0741,2.8046,3.2744,"RD3       ",51
2012,73190,20,5.2354,5.0679,5.5484,"RD2       ",48
2010,70787,72,5.1694,4.6552,5.5169,"RD2       ",51
2009,69067,61,4.0164,3.7846,4.3004,"RD3       ",51
2012,73190,109,2.9397,2.8585,2.9897,"RD3       ",54
2012,73190,4,3.1625,3.1173,3.2433,"RD3       ",48
2012,73190,50,5.9855,5.6584,6.2699,"RD1       ",50
2010,70787,125,5.3533,5.2421,5.4968,"RD1       ",53
2012,73190,66,4.7645,4.4313,5.0115,"RD2       ",51
2008,67007,121,3.3441,3.2593,3.4857,"RD3       ",53
2006,62666,76,4.2543,4.0602,4.4017,"RD2       ",53
2008,67007,129,5.0793,4.8118,5.4681,"RD1       ",54
2008,67007,123,6.2141,5.8874,6.5315,"RD1       ",53
2011,72067,42,6.6648,6.6249,6.7643,"RD1       ",50
2011,72067,6,2.8226,2.7439,2.9283,"RD3       ",48
2010,70787,97,5.388,4.8516,6.0219,"RD1       ",52
2012,73190,1,3.8076,3.7324,3.8637,"RD3       ",48
2007,65106,5,4.7997,4.6001,4.9833,"RD2       ",48
2006,62666,88,4.8389,4.6147,5.1389,"RD2       ",54
2007,65106,76,3.0755,2.8906,3.2873,"RD3       ",52
2011,72067,54,5.6722,5.2595,6.0862,"RD1       ",51
2006,62666,62,3.5748,3.1779,4.9735,"RD3       ",51
2010,70787,38,2.9354,2.8,3.1013,"RD3       ",50
2011,72067,12,6.4306,6.1239,6.645,"RD1       ",48
2010,70787,25,5.8641,5.6539,6.1411,"RD1       ",49
2007,65106,61,5.5888,5.4359,5.7607,"RD1       ",51
2006,62666,17,4.3471,4.2229,4.6011,"RD2       ",48
2012,73190,40,3.9867,3.7972,4.1769,"RD3       ",50
2008,67007,78,5.5873,5.3828,5.809,"RD1       ",51
2009,69067,128,2.9907,2.9025,3.1268,"RD3       ",53
2010,70787,39,4.3718,4.189,4.5753,"RD2       ",50
2008,67007,75,4.1081,3.5875,4.497,"RD2       ",51
2011,72067,8,3.0264,2.8595,3.2428,"RD3       ",48
2009,69067,118,5.2616,5.0972,5.4612,"RD2       ",53
2010,70787,24,2.7008,2.6877,2.714,"RD3       ",49
2010,70787,34,3.1803,3.0842,3.2794,"RD3       ",49
2006,62666,23,5.649,5.4682,5.9756,"RD2       ",49
2010,70787,12,3.7049,3.5891,3.8327,"RD3       ",48
2010,70787,43,4.9427,4.7613,5.2353,"RD2       ",49
2008,67007,35,6.6994,6.3382,6.8803,"RD1       ",49
2010,70787,80,5.5172,4.8428,6.5457,"RD1       ",51
2010,70787,61,4.2864,4.1282,4.5396,"RD2       ",51
2010,70787,55,3.4902,3.0946,3.8632,"RD3       ",51
2007,65106,30,4.4407,4.2587,4.6967,"RD2       ",50
2006,62666,84,3.6072,3.4417,3.7446,"RD3       ",53
2009,69067,32,2.5773,2.5385,2.6541,"RD3       ",49
2012,73190,55,3.6674,3.55,3.8082,"RD3       ",51
2009,69067,121,6.4342,6.236,6.6282,"RD1       ",53
2007,65106,98,3.3938,3.2385,3.5582,"RD3       ",54
2012,73190,37,3.7495,3.7119,3.836,"RD3       ",49
2012,73190,30,6.5923,6.0627,6.9854,"RD1       ",49
2011,72067,47,6.0401,5.5787,6.6856,"RD1       ",50
2007,65106,86,2.5327,2.494,2.5865,"RD3       ",53
2010,70787,92,4.0376,3.8199,4.5439,"RD2       ",52
2007,65106,55,4.3878,4.1819,4.6456,"RD2       ",51
2006,62666,29,7.0138,6.8578,7.1219,"RD1       ",49
2008,67007,47,6.5889,6.3697,6.7231,"RD1       ",50
2012,73190,12,5.7741,5.4373,5.935,"RD2       ",48
2010,70787,52,6.4946,6.3547,6.5475,"RD1       ",50
2011,72067,44,4.5591,4.263,4.9059,"RD2       ",50
2011,72067,4,6.9502,6.8951,7.0139,"RD1       ",48
2011,72067,85,2.8789,2.6476,3.1088,"RD3       ",52
2010,70787,15,4.2328,4.1017,4.4038,"RD2       ",48
2011,72067,72,5.3415,4.9838,5.8795,"RD1       ",51
2011,72067,23,3.5499,3.3432,3.866,"RD3       ",49
2011,72067,11,3.4746,3.3342,3.6338,"RD3       ",48
2011,72067,53,4.9988,4.4355,5.6696,"RD1       ",51
2007,65106,31,3.0928,2.9984,3.2196,"RD3       ",50
2012,73190,34,3.8002,3.5703,4.1067,"RD3       ",49
2012,73190,9,3.853,3.7395,3.9409,"RD3       ",48
2007,65106,56,3.1863,2.8718,3.519,"RD3       ",51
2007,65106,74,4.094,3.7356,4.4583,"RD2       ",52
2012,73190,28,3.6793,3.5482,3.8648,"RD3       ",49
2007,65106,43,6.2816,5.9551,6.6172,"RD1       ",50
2006,62666,44,6.8569,6.6663,7.0649,"RD1       ",50
2010,70787,54,4.6279,4.3003,4.9954,"RD2       ",51
2010,70787,20,6.3665,6.2304,6.4749,"RD1       ",49
2012,73190,110,4.8102,4.5736,4.9957,"RD2       ",54
2009,69067,72,2.8236,2.7253,2.9884,"RD3       ",51
2011,72067,111,5.8937,5.7803,5.9931,"RD1       ",54
2011,72067,45,3.5005,3.2841,3.662,"RD3       ",50
2007,65106,92,5.3011,5.1633,5.3943,"RD1       ",53
2006,62666,78,3.0314,2.8311,3.1839,"RD3       ",53
2008,67007,109,4.2793,4.1172,4.5148,"RD2       ",53
2011,72067,78,3.8846,3.6442,4.159,"RD2       ",52
2008,67007,85,3.9849,3.8112,4.1635,"RD2       ",51
2006,62666,35,3.3236,3.0684,3.5319,"RD3       ",50
2012,73190,19,4.1571,4.0104,4.3111,"RD3       ",48
2012,73190,64,2.7424,2.6336,2.8824,"RD3       ",51
2009,69067,86,3.9429,3.6678,4.2049,"RD2       ",52
2008,67007,94,5.6887,5.3067,6.2411,"RD1       ",52
2011,72067,83,5.6286,5.2403,5.925,"RD1       ",52
2011,72067,90,2.483,2.4453,2.5633,"RD3       ",52
2007,65106,95,4.7436,4.4672,5.0361,"RD1       ",54
2008,67007,65,2.7215,2.4207,3.1062,"RD3       ",51
2010,70787,9,5.8633,5.818,5.9164,"RD1       ",48
2008,67007,38,2.6906,2.566,2.7686,"RD3       ",49
2008,67007,135,4.4568,4.2868,4.5948,"RD2       ",54
2007,65106,28,6.358,6.0067,6.5633,"RD1       ",50
2008,67007,92,3.508,3.264,3.8217,"RD3       ",52
2009,69067,23,4.8742,4.6422,5.0165,"RD2       ",49
2010,70787,96,5.0252,4.6872,5.5616,"RD1       ",52
2009,69067,16,3.2255,3.1173,3.3834,"RD3       ",48
2006,62666,61,5.3439,4.8824,5.8018,"RD2       ",51
2010,70787,100,3.6736,3.5157,3.8447,"RD3       ",52
2011,72067,70,3.5618,3.1758,4.3123,"RD3       ",51
2011,72067,22,5.6992,5.4957,5.9149,"RD1       ",48
2011,72067,67,4.0964,3.914,4.4369,"RD2       ",51
2007,65106,41,2.8297,2.612,3.0325,"RD3       ",50
2010,70787,120,3.3265,3.244,3.4562,"RD3       ",53
2007,65106,11,3.0419,2.9099,3.2071,"RD3       ",48
2007,65106,52,3.4494,2.887,4.121,"RD3       ",51
2012,73190,22,6.0576,5.811,6.3148,"RD1       ",48
2012,73190,13,5.3433,5.103,5.5554,"RD2       ",48
2011,72067,63,5.7276,5.6079,5.7939,"RD1       ",51
2007,65106,48,3.4369,3.1577,3.6913,"RD3       ",51
2008,67007,68,5.4661,4.9802,5.7963,"RD1       ",51
2008,67007,51,4.7274,4.438,4.998,"RD2       ",50
2008,67007,14,6.7984,6.3472,7.0297,"RD1       ",48
2008,67007,124,6.2092,5.9617,6.4701,"RD1       ",53
2008,67007,2,2.7207,2.627,2.8369,"RD3       ",48
2007,65106,88,4.4213,4.2444,4.5443,"RD2       ",53
2012,73190,36,4.916,4.3195,5.4041,"RD1       ",49
2007,65106,71,3.827,3.6981,3.9867,"RD2       ",52
2009,69067,103,2.9189,2.8958,2.9733,"RD3       ",53
2009,69067,46,7.0489,6.9687,7.113,"RD1       ",50
2009,69067,109,4.4878,4.3682,4.6214,"RD2       ",53
2011,72067,46,6.7214,6.6785,6.8208,"RD1       ",50
2009,69067,56,5.8049,5.4973,6.6115,"RD1       ",51
2012,73190,44,2.9727,2.8896,3.0964,"RD3       ",50
2012,73190,97,3.9187,3.79,4.0477,"RD2       ",53
2012,73190,3,4.4356,4.2687,4.5698,"RD2       ",48
2010,70787,83,4.3254,4.087,4.5468,"RD2       ",52
2011,72067,66,5.6258,5.173,6.0334,"RD1       ",51
2006,62666,57,4.4571,3.885,5.0992,"RD2       ",51
2012,73190,73,3.3234,3.013,3.583,"RD3       ",51
2012,73190,57,4.6199,4.4037,4.9424,"RD2       ",51
2006,62666,20,6.939,6.751,7.0175,"RD1       ",49
2012,73190,29,6.5569,5.9584,6.8046,"RD1       ",49
2009,69067,19,4.8564,4.6528,5.1115,"RD2       ",48
2010,70787,70,3.2113,2.9831,3.4599,"RD3       ",51
2010,70787,16,6.646,6.589,6.6804,"RD1       ",48
